transaction_id,user_id,amount,email,transaction_time,email_domain,transaction_date
T0001,U069,0.0,jeffreyfisher@gmail.com,2025-04-20 08:00:02,gmail.com,2025-04-20
T0002,U253,70921.08,porteramy@yahoo.com,2025-03-30 21:07:41,yahoo.com,2025-03-30
T0003,U222,42313.74,jerome93@yahoo.com,2025-04-20 10:50:30,yahoo.com,2025-04-20
T0004,U187,0.0,jimeneztamara@snyder-shaw.com,2025-04-05 11:48:29,snyder-shaw.com,2025-04-05
T0005,U064,81176.73,louis64@gmail.com,2025-04-14 08:50:35,gmail.com,2025-04-14
T0006,U121,0.0,laura76@welch.info,2025-04-26 17:20:46,welch.info,2025-04-26
T0007,U164,0.0,deanna15@mcbride-day.com,2025-03-30 06:43:54,mcbride-day.com,2025-03-30
T0008,U212,0.0,dgreen@hotmail.com,2025-04-23 07:19:12,hotmail.com,2025-04-23
T0009,U221,0.0,bgonzalez@gmail.com,2025-03-29 12:48:03,gmail.com,2025-03-29
T0010,U033,0.0,rebecca69@hotmail.com,2025-04-15 04:04:31,hotmail.com,2025-04-15
T0011,U093,82119.7,roberttucker@johnson-robinson.net,2025-04-20 02:52:35,johnson-robinson.net,2025-04-20
T0012,U279,63515.6,brucesmith@gmail.com,2025-04-20 09:58:53,gmail.com,2025-04-20
T0013,U184,0.0,jackielewis@yahoo.com,2025-03-29 21:00:47,yahoo.com,2025-03-29
T0014,U130,0.0,dawn56@roman.net,2025-04-15 19:21:50,roman.net,2025-04-15
T0015,U225,0.0,dmiller@hotmail.com,2025-04-02 17:54:03,hotmail.com,2025-04-02
T0016,U217,0.0,michael81@farley-morrow.info,2025-04-07 05:51:49,farley-morrow.info,2025-04-07
T0017,U115,40985.08,gmccoy@yahoo.com,2025-04-16 18:40:03,yahoo.com,2025-04-16
T0018,U062,0.0,lopezkeith@yahoo.com,2025-04-09 18:44:37,yahoo.com,2025-04-09
T0019,U280,0.0,hgarcia@yahoo.com,2025-04-12 00:43:15,yahoo.com,2025-04-12
T0020,U057,0.0,paul68@yahoo.com,2025-04-15 11:48:24,yahoo.com,2025-04-15
T0021,U296,35984.19,uwaters@martin.com,2025-04-23 17:24:02,martin.com,2025-04-23
T0022,U157,0.0,ysilva@gmail.com,2025-04-05 14:14:18,gmail.com,2025-04-05
T0023,U085,0.0,shawn41@yahoo.com,2025-04-26 23:15:02,yahoo.com,2025-04-26
T0024,U178,0.0,rachel75@hotmail.com,2025-04-16 06:56:56,hotmail.com,2025-04-16
T0026,U065,0.0,anthony92@howard-dodson.com,2025-04-01 18:52:38,howard-dodson.com,2025-04-01
T0027,U041,23227.12,teresawilliams@yahoo.com,2025-03-29 06:58:25,yahoo.com,2025-03-29
T0028,U110,0.0,elizabethmclean@porter.biz,2025-04-26 14:43:19,porter.biz,2025-04-26
T0029,U273,0.0,sarahzimmerman@hotmail.com,2025-04-03 02:38:36,hotmail.com,2025-04-03
T0030,U017,0.0,charlenehanson@gmail.com,2025-04-09 03:38:13,gmail.com,2025-04-09
T0031,U180,0.0,melissa31@carter.com,2025-04-19 16:04:22,carter.com,2025-04-19
T0032,U113,0.0,taylorjoseph@hotmail.com,2025-04-16 07:45:18,hotmail.com,2025-04-16
T0033,U060,0.0,debra62@gmail.com,2025-04-20 04:48:33,gmail.com,2025-04-20
T0034,U029,0.0,ppatterson@yahoo.com,2025-04-09 23:00:47,yahoo.com,2025-04-09
T0035,U180,74468.55,michaelcarey@gmail.com,2025-04-01 16:09:24,gmail.com,2025-04-01
T0036,U066,88464.76,stephanie50@yahoo.com,2025-04-11 05:50:57,yahoo.com,2025-04-11
T0037,U217,0.0,joy46@gmail.com,2025-04-17 14:55:10,gmail.com,2025-04-17
T0038,U148,0.0,bonniesimon@hernandez-keller.net,2025-04-27 17:41:23,hernandez-keller.net,2025-04-27
T0039,U124,0.0,bowmanryan@gmail.com,2025-04-23 11:25:05,gmail.com,2025-04-23
T0040,U200,0.0,smithdanny@yahoo.com,2025-04-13 12:13:00,yahoo.com,2025-04-13
T0041,U141,53985.0,jreyes@gmail.com,2025-04-20 21:39:11,gmail.com,2025-04-20
T0042,U117,0.0,rachelmoss@yahoo.com,2025-04-11 00:27:48,yahoo.com,2025-04-11
T0043,U259,0.0,theresakirk@gmail.com,2025-04-16 02:24:45,gmail.com,2025-04-16
T0044,U244,50793.32,christina51@mccall.com,2025-04-13 23:28:13,mccall.com,2025-04-13
T0045,U245,0.0,garciajenny@crosby.com,2025-04-20 00:46:25,crosby.com,2025-04-20
T0046,U123,0.0,michaelaramos@yahoo.com,2025-04-13 12:13:05,yahoo.com,2025-04-13
T0047,U051,0.0,ubrown@reyes.com,2025-04-03 16:07:33,reyes.com,2025-04-03
T0049,U050,93898.14,carlsonjames@gardner-little.com,2025-04-05 03:12:16,gardner-little.com,2025-04-05
T0050,U098,0.0,mbryant@terrell.com,2025-04-26 06:13:43,terrell.com,2025-04-26
T0051,U107,0.0,mathewlamb@riley.com,2025-04-02 22:57:20,riley.com,2025-04-02
T0052,U088,70959.19,jessica48@hotmail.com,2025-04-25 00:09:15,hotmail.com,2025-04-25
T0053,U064,56784.38,katiehopkins@pope.org,2025-04-14 02:16:21,pope.org,2025-04-14
T0054,U166,54212.52,kevin53@hotmail.com,2025-04-13 06:40:56,hotmail.com,2025-04-13
T0055,U181,0.0,michellehale@yahoo.com,2025-04-22 08:05:29,yahoo.com,2025-04-22
T0056,U072,0.0,charlesrodriguez@freeman-gonzalez.com,2025-04-05 01:47:24,freeman-gonzalez.com,2025-04-05
T0057,U168,54772.22,bsmith@yahoo.com,2025-03-29 18:35:18,yahoo.com,2025-03-29
T0059,U291,49410.17,bobbyperez@gmail.com,2025-04-16 00:47:48,gmail.com,2025-04-16
T0061,U110,0.0,farmerashley@saunders.com,2025-04-12 16:25:42,saunders.com,2025-04-12
T0062,U132,0.0,michael35@hotmail.com,2025-04-17 21:55:07,hotmail.com,2025-04-17
T0064,U295,0.0,andrea13@gallegos.com,2025-04-20 11:05:49,gallegos.com,2025-04-20
T0065,U143,0.0,elizabeth04@oliver.info,2025-04-01 08:53:41,oliver.info,2025-04-01
T0066,U108,80296.12,jill11@gmail.com,2025-04-03 09:51:20,gmail.com,2025-04-03
T0067,U183,98103.36,danielramirez@hotmail.com,2025-04-19 08:54:15,hotmail.com,2025-04-19
T0068,U103,0.0,rachel89@moore.com,2025-04-24 18:29:58,moore.com,2025-04-24
T0069,U006,0.0,benderjulia@yahoo.com,2025-04-15 09:22:58,yahoo.com,2025-04-15
T0070,U282,0.0,frederickwright@gmail.com,2025-04-14 02:17:30,gmail.com,2025-04-14
T0072,U056,0.0,william81@brown.net,2025-04-20 15:47:01,brown.net,2025-04-20
T0073,U109,0.0,ryan67@bush.com,2025-04-02 05:26:04,bush.com,2025-04-02
T0074,U026,0.0,xwerner@yahoo.com,2025-04-25 16:33:24,yahoo.com,2025-04-25
T0075,U131,89574.63,jonesgeorge@yahoo.com,2025-04-14 00:16:53,yahoo.com,2025-04-14
T0077,U130,0.0,maureen88@hotmail.com,2025-04-17 06:07:20,hotmail.com,2025-04-17
T0079,U119,0.0,connorbryant@hotmail.com,2025-04-17 15:42:40,hotmail.com,2025-04-17
T0080,U099,0.0,danielle36@bradley-vega.org,2025-04-12 10:38:39,bradley-vega.org,2025-04-12
T0081,U209,63408.75,tara00@gmail.com,2025-04-22 15:38:34,gmail.com,2025-04-22
T0082,U256,0.0,tamarasanders@hotmail.com,2025-04-10 17:54:06,hotmail.com,2025-04-10
T0083,U261,0.0,toddtanner@gmail.com,2025-04-11 13:59:41,gmail.com,2025-04-11
T0084,U127,0.0,garzadavid@hotmail.com,2025-04-09 23:45:41,hotmail.com,2025-04-09
T0085,U267,0.0,sharonjohnson@owens-turner.biz,2025-04-20 03:50:32,owens-turner.biz,2025-04-20
T0086,U133,46722.35,patricia21@juarez-gray.com,2025-04-09 11:59:24,juarez-gray.com,2025-04-09
T0087,U090,0.0,angelica26@thompson.com,2025-04-23 09:19:57,thompson.com,2025-04-23
